Name,Year,Latitude,Longitude,Country
 Kazan State Medical University,1814,55.7907816,49.1409153,RU
 Spalding University,1814,38.2414273,-85.7574196,US
 Allegheny College,1815,41.6484561,-80.145534,US
 Nichols College,1815,42.044862,-71.9308651,US
 Technische Universität Wien,1815,48.1986546,16.3684626,AT
 École Nationale Supérieure des Mines de St-Etienne,1816,45.4229506,4.4084483,FR
 Kharkiv National Agricultural University,1816,50.006015,36.245437,UA
 Szkola Glówna Gospodarstwa Wiejskiego w Warszawie,1816,52.1620585,21.0467769,PL
 Technische Hochschule Georg Agricola,1816,51.4879028,7.2136937,DE
 The State University of New York at Potsdam,1816,44.6643102,-74.9761059,US
 Universität für Musik und darstellende Kunst Graz,1816,47.0722564,15.4499423,AT
 Uniwersytet Warszawski,1816,52.2403463,21.0186012,PL
 Presidency University,1817,22.5763122,88.3623245,IN
 South Ukrainian National Pedagogical University,1817,46.4805364,30.7214881,UA
 Universität für Musik und darstellende Kunst Wien,1817,48.2018433,16.3848833,AT
 Université de Liège,1817,50.5830803,5.559064,BE
 Universiteit Gent,1817,51.0465619,3.7279181,BE
 University of Michigan,1817,42.2780436,-83.7382241,US
 Akademia Sztuk Pieknych im. Jana Matejki w Krakowie,1818,50.0662526,19.9415695,PL
 Dalhousie University,1818,44.6365812,-63.5916555,CA
 Poltava National Technical Yuri Kondratyuk University,1818,49.564057,34.5197224,UA
 Rheinische Friedrich-Wilhelms-Universität Bonn,1818,50.7267715,7.0865227,DE
 Saint Louis University,1818,38.6346955,-90.2340587,US
 Universität Hohenheim,1818,48.7117184,9.211793,DE
 Université de Saint-Boniface,1818,49.8888611,-97.1197352,CA
 Centre College,1819,37.6456916,-84.7815059,US
 Colgate University,1819,42.822465,-75.541671,US
 ESCP Europe,1819,40.4711563,-3.7497245,ES
 Maryville College,1819,35.7514166,-83.9641634,US
 Norwich University,1819,44.1383618,-72.6591964,US
 University of Cincinnati,1819,39.1329219,-84.5149504,US
 University of Virginia,1819,38.0335529,-78.5079772,US
 Indiana University Bloomington,1820,39.1754487,-86.512627,US
 Amherst College,1821,42.3709104,-72.5170028,US
 Deccan College Post-Graduate and Research Institute,1821,18.5494492,73.8732786,IN
 George Washington University,1821,38.8997145,-77.0485992,US
 McGill University,1821,45.5047847,-73.5771511,CA
 Universidad de Buenos Aires,1821,-34.5998875,-58.3730695,AR
 University of the Sciences in Philadelphia,1821,39.9468678,-75.2071035,US
 Athens State University,1822,34.8057395,-86.9665343,US
 Hobart and William Smith Colleges,1822,42.8572633,-76.987228,US
" Royal Academy of Music, University of London",1822,51.5233715,-0.1517215,GB
 Universidad Nacional de Educación Enrique Guzmán y Valle,1822,-11.9475748,-76.7011822,PE
 Anton Bruckner Privatuniversität,1823,48.3112427,14.2689553,AT
 Jawaharlal Institute of Postgraduate Medical Education and Research,1823,11.9503023,79.7996963,IN
 MCPHS University,1823,42.3364386,-71.1014439,US
 Technische Hochschule Nürnberg,1823,49.4529295,11.0924882,DE
 Trinity College,1823,41.7478797,-72.6905199,US
 Union University,1823,35.6773778,-88.8595906,US
 Cazenovia College,1824,42.932134,-75.8541489,US
 Kenyon College,1824,40.3718965,-82.3983079,US
 Medical University of South Carolina,1824,32.7850493,-79.9478413,US
 Rensselaer Polytechnic Institute,1824,42.7297628,-73.6788884,US
 The University of Manchester,1824,53.4668498,-2.2338837,GB
 Thomas Jefferson University,1824,40.019687,-75.1926756,US
 Universidad Nacional de Trujillo,1824,-8.1149825,-79.0382783,PE
 Centenary College of Louisiana,1825,32.4847432,-93.7321556,US
 Moscow State Industrial Art University,1825,55.807441,37.498375,RU
 Pädagogische Hochschule Schwäbisch Gmünd,1825,48.7914649,9.8296029,DE
 Case Western Reserve University,1826,41.5043413,-81.6083838,US
 Conservatoire Royal de Liège,1826,50.6347661,5.5709063,BE
 Furman University,1826,34.9260157,-82.4400724,US
 Lafayette College,1826,40.7000657,-75.2081284,US
 Maryland Institute College of Art,1826,39.307555,-76.6216339,US
 Mississippi College,1826,32.3381241,-90.33174,US
 Politechnika Warszawska,1826,52.2212012,21.0080857,PL
 State University of New York at Fredonia,1826,42.4538665,-79.3403633,US
 Universidad Central del Ecuador,1826,-0.2006863,-78.5023864,EC
 University College London,1826,51.5245592,-0.1340401,GB
 Hanover College,1827,38.7192502,-85.4623681,US
 Kungliga Tekniska högskolan,1827,59.3498195,18.070511,SE
 Lindenwood University,1827,38.7874865,-90.5037715,US
 Universidad Autónoma Benito Juárez de Oaxaca,1827,17.0497838,-96.7127768,MX
 Universidad de Cartagena,1827,10.4256375,-75.5497873,CO
 Universidad del Cauca,1827,2.4409944,-76.6048862,CO
 Universidade de São Paulo,1827,-23.5613991,-46.7307891,BR
 University of Toronto,1827,43.6628917,-79.3956564,CA
 École Nationale Vétérinaire de Toulouse,1828,43.6019953,1.3841702,FR
 McKendree University,1828,38.6077977,-89.8155938,US
 Saint Petersburg State Institute of Technology,1828,59.9175207,30.3187565,RU
 State University of New York at New Paltz,1828,41.7390054,-74.0851655,US
 Technische Universität Dresden,1828,51.0292734,13.7289964,DE
 Universidad Nacional de San Agustín de Arequipa,1828,-16.3971387,-71.5371719,PE
 CentraleSupélec,1829,48.7097442,2.1675398,FR
 Chalmers tekniska högskola,1829,57.6897063,11.9741654,SE
 Danmarks Tekniske Universitet,1829,55.7855742,12.521381,DK
 Illinois College,1829,39.7311064,-90.2463073,US
 King's College London,1829,51.5114864,-0.115997,GB
 Rochester Institute of Technology,1829,43.0844955,-77.6749311,US
 Universität Stuttgart,1829,48.7815142,9.1735818,DE
 Bauman Moscow State Technical University,1830,55.7659869,37.6850104,RU
 Capital University,1830,39.9551049,-82.9375379,US
 Hochschule für Musik und Theater München,1830,48.146002,11.567606,DE
 Randolph-Macon College,1830,37.7603794,-77.4783518,US
 Spring Hill College,1830,30.6919256,-88.1357344,US
 Universidad Mayor de San Andrés,1830,-16.5047667,-68.1299168,BO
 Universität Vechta,1830,52.7209126,8.2941199,DE
 University of North Alabama,1830,34.8074555,-87.6811676,US
 University of Richmond,1830,37.5746059,-77.5420768,US
 Denison University,1831,40.0734008,-82.5229048,US
 LaGrange College,1831,33.0384447,-85.0433441,US
 Leibniz Universität Hannover,1831,52.3829641,9.7196989,DE
 New York University,1831,40.7295134,-73.9964609,US
 The University of Alabama,1831,33.2140233,-87.5391418,US
 Université de Namur,1831,50.4661979,4.8601213,BE
 University of New England,1831,43.4582904,-70.3865402,US
 Vermont College of Fine Arts,1831,44.2551934,-72.5676241,US
 Wesleyan University,1831,41.5566104,-72.6569041,US
 Xavier University,1831,39.149448,-84.4736374,US
 Conservatoire Royal de Bruxelles,1832,50.839083,4.3557736,BE
 Durham University,1832,54.7649859,-1.5782029,GB
 Gettysburg College,1832,39.8356944,-77.2356339,US
 Hochschule für Technik Stuttgart,1832,48.7803251,9.1726453,DE
 St. Petersburg State University of Architecture and Civil Engineering,1832,59.9149405,30.3158426,RU
 Universidad Mayor de San Simón,1832,-17.3936779,-66.1463787,BO
 Wabash College,1832,40.0369332,-86.9066712,US
 Haverford College,1833,40.0093242,-75.3076619,US
 Kalamazoo College,1833,42.290035,-85.598145,US
 Mercer University,1833,32.8288186,-83.6497769,US
 Oberlin College,1833,41.2958696,-82.221089,US
 Stephens College,1833,38.9515728,-92.3214357,US
 Universidad de Carabobo,1833,10.277213,-68.0066585,VE
 Universidad de la República,1833,-34.9010589,-56.1733382,UY
 Universität Zürich,1833,47.3743221,8.5509812,CH
 Franklin College,1834,39.478646,-86.045479,US
 Green Mountain College,1834,43.5167448,-73.2442058,US
 Hogere Zeevaartschool Antwerpen,1834,51.240545,4.39816,BE
 SUNY Upstate Medical University,1834,43.0422979,-76.1395979,US
 Taras Shevchenko National University of Kyiv,1834,50.4420868,30.5104023,UA
 Tulane University,1834,29.9407282,-90.1203167,US
 Universität Bern,1834,46.9504896,7.438119,CH
 Université Libre de Bruxelles,1834,50.8132068,4.3822222,BE
 University of the Ozarks,1834,35.4758935,-93.4662875,US
 Wake Forest University,1834,36.1347805,-80.27793,US
 Albion College,1835,42.2440064,-84.7451775,US
 Marietta College,1835,39.4166565,-81.4499351,US
 Oglethorpe University,1835,33.8759378,-84.3347555,US
 The University of West Alabama,1835,32.5971376,-88.1869512,US
 Alfred University,1836,42.2554523,-77.7862799,US
 Emory & Henry College,1836,36.77252,-81.82925,US
 Emory University,1836,33.7971368,-84.32224,US
